,gs,blk,Ratio,Spread
0,348.7200012207031,813.8099975585938,2.3337061100878396,-101.7894942920692
1,347.19000244140625,811.1300048828125,2.3362712036032875,-102.24245484592028
2,348.5299987792969,816.8499755859375,2.343700623897226,-105.218537180442
3,341.45001220703125,792.8200073242188,2.321921156773919,-95.68614048379742
4,342.5199890136719,795.3200073242188,2.3219666963508896,-95.99516664946735
5,342.5849914550781,803.0125122070312,2.3439804201472945,-103.55456710664679
6,343.1199951171875,802.1953125,2.3379439377353166,-101.64184923728008
7,342.077392578125,792.7999877929688,2.3176041591579484,-94.3814445289954
8,338.59619140625,784.8294067382812,2.3178920101810525,-93.53926161553873
9,338.9800109863281,787.280029296875,2.32249691362665,-95.20394315949032
10,341.2449951171875,788.77001953125,2.311447877090116,-92.0559627994687
11,340.7799987792969,788.1900024414062,2.3128998335136166,-92.42811103045686
12,337.2650146484375,781.6599731445312,2.3176432158530518,-93.09565668193748
13,341.3500061035156,788.3499755859375,2.309506258941936,-91.42088959190094
14,340.760009765625,790.6799926757812,2.3203426752441154,-94.95903243797248
15,341.5150146484375,794.2899780273438,2.3257834764453973,-97.02300676128924
16,338.2799987792969,790.989990234375,2.3382700516989137,-100.34730753134362
17,343.75,800.6500244140625,2.3291637073863636,-98.80651055849272
18,347.010009765625,807.9600219726562,2.328347884023181,-99.44103996505235
19,348.94000244140625,813.3699951171875,2.330973776082804,-100.89899898475254
20,349.2571105957031,810.469970703125,2.320553959003909,-97.34963744075866
21,351.2850036621094,813.5499877929688,2.315925756328324,-96.27717139289301
22,352.3999938964844,816.47998046875,2.316912584024013,-96.92401698185186
23,353.5899963378906,818.6400146484375,2.315223912234624,-96.64730281734306
24,352.6700134277344,817.1900024414062,2.3171519304939623,-97.0811244202349
25,354.5899963378906,823.4000244140625,2.322118595893609,-99.35962909980081
26,358.2959899902344,823.72998046875,2.2990209309660465,-92.10088316386144
27,359.45001220703125,823.7999877929688,2.2918346357392454,-89.80781825553719
28,360.239990234375,825.9400024414062,2.2927493471894755,-90.33020794531784
29,360.8800048828125,826.4000244140625,2.289957917403645,-89.47968249338349
30,360.7900085449219,824.9099731445312,2.286399161859888,-88.1739152384964
31,364.20001220703125,827.8099975585938,2.2729543377610355,-84.09133147611782
32,364.07000732421875,826.3099975585938,2.2696458948422302,-82.85754032738406
33,358.9800109863281,818.0,2.2786784081722975,-84.9702441992706
34,360.0,818.3900146484375,2.2733055962456596,-83.27164419140023
35,362.0199890136719,817.2050170898438,2.2573477760615632,-77.95034849333125
36,362.7699890136719,816.9329833984375,2.2519309979846467,-76.14255218954962
37,363.8500061035156,819.3099975585938,2.2517795350139402,-76.30803319329446
